(7717,222,691)
(6774,941,688)
(4409,370,678)
(4631,1414,748)
(858,459,268)
(5780,391,586)
(4695,96,554)
(1525,1436,668)
(93,1101,642)
(2155,113,707)
(7452,61,194)
(4278,758,347)
(1420,217,48)
(4796,404,371)
(6778,710,821)
(4326,1148,578)
(407,1375,280)
(131,656,584)
(2739,575,99)
(2846,1517,531)
(6133,540,696)
(4013,486,313)
(2361,314,674)
(2824,1279,851)
(424,687,199)
(2343,1271,504)
(3829,564,901)
(1945,1458,84)
(7013,1422,675)
(5383,122,336)
(3606,1362,530)
(4538,857,270)
(7143,179,3)
(7376,965,333)
(5648,1194,564)
(6010,579,308)
(6559,670,288)
(7543,231,76)
(7119,482,712)
(280,858,607)
(2521,1355,783)
(6644,854,578)
(6101,981,615)
(2233,427,356)
(3113,1484,474)
(6873,974,763)
(6954,1291,667)
(4795,1230,332)
(2924,410,531)
(226,1503,244)
(6105,859,44)
(6527,61,125)
(2196,292,477)
(2345,682,124)
(2029,1512,25)
(5047,810,808)
(6018,820,300)
(5587,36,765)
(3432,115,276)
(3484,706,170)
(1874,1315,250)
(726,376,287)
(443,319,41)
(4102,1181,454)
(5057,531,43)
(333,227,457)
(6214,960,476)
(1648,809,182)
(2743,267,770)
(2096,67,839)
(2173,43,845)
(1486,58,248)
(1773,428,239)
(5469,561,47)
(486,319,364)
(7888,996,296)
(1012,641,481)
(5385,652,412)
(2096,533,583)
(3118,888,509)
(536,519,642)
(3095,1,449)
(7882,647,697)
(2366,1349,335)
(6994,581,26)
(708,355,662)
(1466,1364,713)
(3822,1023,621)
(2069,1504,455)
(3117,676,419)
(6880,300,821)
(4508,146,0)
(5550,577,520)
(3207,861,771)
(342,612,790)
(1747,673,830)
(528,619,483)
(3523,426,864)
(4859,913,159)
(4387,553,637)
